Date	Parasitoid_Origin	Hour_treatment	Sugar_treatment	Code	Glucose	Fructose	Sucrose	Maltose	Erlose	Melezitose	Stachyose	GF_Ratio	H_Ratio	TotSug	Type	Tmt.12
11/01/2018	Ap	24h	ApH	82	41,48721543	8,557934234	0,86188809	0,095046952	0	0	0,051569821	0,828995731	0,001861707	51,05365452	Parasitoid	Unfed
11/01/2018	Ap	24h	ApH	83	28,3727479	7,211912298	0,210612523	0,485446245	0	0	0,051917175	0,797330865	0,013361162	36,33263614	Parasitoid	Unfed
11/01/2018	Ap	24h	SaH	84	19,62286161	0,766940595	0,242454989	0,022973633	0	0	0	0,96238607	0,001112243	20,65523083	Parasitoid	Unfed
11/01/2018	Ap	24h	SaH	85	2,737547871	0,053919266	0,174243455	0	0	0	0	0,980684255	0	2,965710591	Parasitoid	Unfed
08/01/2018	Ap	24h	VfN	86	2,702275376	0,30241965	0,162238702	0	0	0	0,007110268	0,899350966	0	3,174043996	Parasitoid	Unfed
11/01/2018	Ap	24h	VfN	87	31,51403911	1,708525817	0,535289198	0	0	0	0	0,948573332	0	33,75785413	Parasitoid	Unfed
08/01/2018	Ap	24h	Unfed	88	3,174195952	0,416551799	0,753355909	0	0	0,016675978	0	0,883993021	0,003824082	4,360779639	Parasitoid	Unfed
09/01/2018	Ap	24h	Unfed	89	2,195257224	0,360986092	0,244360902	0	0	0,005147066	0	0,858782577	0,00183447	2,805751285	Parasitoid	Unfed
11/01/2018	Ap	24h	Unfed	90	3,897223632	0,283633907	0,267440879	0	0	0,003378793	0	0,932158916	0,000758993	4,45167721	Parasitoid	Unfed
11/01/2018	Ap	24h	Unfed	91	3,858228477	0	0,020255246	0	0	0	0,0217247	1	0	3,900208423	Parasitoid	Unfed
09/01/2018	Ap	12h	ApH	92	46,72509453	11,15753441	1,182745826	0,661742488	0	0	0	0,807238638	0,011079431	59,72711725	Parasitoid	Honeydew
09/01/2018	Ap	12h	ApH	93	12,0297307	2,366402357	0,906313704	0	0	0	0	0,835622361	0	15,30244676	Parasitoid	Honeydew
10/01/2018	Ap	12h	ApH	94	23,00818667	0,734610428	0,28784347	0	0	0	0,008113067	0,969059651	0	24,03875364	Parasitoid	Honeydew
09/01/2018	Ap	12h	SaH	95	18,68574464	0,470598946	0,637854209	0,093103137	0	0	0,021404133	0,97543378	0,004676504	19,90870506	Parasitoid	Honeydew
09/01/2018	Ap	12h	SaH	96	4,113444572	0,341283707	0,325667388	0	0	0,243314835	0,01782738	0,923388434	0,048262026	5,041537883	Parasitoid	Honeydew
10/01/2018	Ap	12h	SaH	97	6,818857934	0,575776218	0,415642846	0	0	0	0	0,922135943	0	7,810276998	Parasitoid	Honeydew
09/01/2018	Ap	12h	VfN	98	34,33288083	5,996309083	0,569860258	0	0	0,005019191	0,07159557	0,851315906	0,000122492	40,97566493	Parasitoid	Nectar
09/01/2018	Ap	12h	VfN	99	35,13940191	8,507860789	0,272812491	0,311635268	0	0	0	0,805076876	0,007045517	44,23171045	Parasitoid	Nectar
10/01/2018	Ap	12h	VfN	100	24,14924759	5,137093207	0,55311026	0	0	0	0,034011326	0,824590814	0	29,87346239	Parasitoid	Nectar
09/01/2018	Ap	12h	Unfed	101	4,228361346	0,528909308	0,468141108	0	0	0	0	0,88882085	0	5,225411762	Parasitoid	Unfed
10/01/2018	Ap	12h	Unfed	102	4,119101757	0,427341735	0,540705413	0	0	0	0	0,906005269	0	5,087148905	Parasitoid	Unfed
10/01/2018	Ap	12h	Unfed	103	32,79223303	5,572914771	0,887311446	0,399659095	0	0	0,042629179	0,854740172	0,010068312	39,69474752	Parasitoid	Unfed
11/01/2018	Ap	1h	ApH	104	30,048151	8,238474173	1,720081883	1,26067901	0	0	0,056020416	0,784821093	0,030507626	41,32340648	Parasitoid	Honeydew
11/01/2018	Ap	1h	ApH	105	23,46635178	4,875951354	1,308626686	1,482337479	0,720050577	0,029220389	0,043581211	0,827962063	0,069899145	31,92611948	Parasitoid	Honeydew
11/01/2018	Ap	1h	SaH	106	32,97739561	6,435443875	0,782721555	1,038020286	0	0,075571624	0,063038976	0,836717071	0,026916435	41,37219192	Parasitoid	Honeydew
11/01/2018	Ap	1h	SaH	107	12,09245065	0,324786561	0,684717618	0,048151072	0	0	0	0,973843895	0,003661649	13,1501059	Parasitoid	Honeydew
11/01/2018	Ap	1h	VfN	108	76,44720025	45,30645933	5,322177494	0,618589604	0	0,121929291	0	0,627884209	0,005793616	127,816356	Parasitoid	Nectar
11/01/2018	Ap	1h	VfN	109	86,44014267	43,11470868	2,075301918	1,429922017	0	0	0,10940079	0,667208844	0,010737611	133,1694761	Parasitoid	Nectar
11/01/2018	Ap	1h	Unfed	110	2,290172128	0,368283851	0,639046078	0	0	0,462482964	0	0,861467012	0,123001278	3,759985021	Parasitoid	Unfed
12/01/2018	Ap	1h	Unfed	111	25,59850868	0	0,747540314	1,736711136	0	0,005465902	0,036031335	1	0,061945708	28,12425737	Parasitoid	Unfed
12/01/2018	Sa	1h	ApH	112	36,99911904	2,585561801	1,224040447	0,264600985	0	0	0	0,934682768	0,006442162	41,07332227	Parasitoid	Honeydew
12/01/2018	Sa	1h	VfN	113	106,7283444	50,3989606	3,891045242	0,634632742	0	0	0,04814374	0,679247597	0,003924727	161,7011267	Parasitoid	Nectar
12/01/2018	Sa	1h	Unfed	114	6,233465608	0,450693445	0,290867472	0	0	0	0	0,932572902	0	6,975026526	Parasitoid	Unfed
12/01/2018	Sa	1h	Unfed	115	20,78065972	1,140945972	0,606578013	0	0	0	0	0,947953358	0	22,5281837	Parasitoid	Unfed
09/01/2018	Ap	0h	ApH	116	23,4050402	17,81413095	1,586030836	0,109580993	0	0	0,032393907	0,567819283	0,00255153	42,94717688	Parasitoid	Honeydew
09/01/2018	Ap	0h	ApH	117	33,52649041	6,518415758	1,192704425	0,290230671	0	0	0,085325491	0,837222349	0,006974491	41,61316675	Parasitoid	Honeydew
11/01/2018	Ap	0h	ApH	118	26,98579778	1,827690054	0,918971546	1,055880731	0	0	0,034552179	0,936568247	0,034256381	30,82289229	Parasitoid	Honeydew
11/01/2018	Ap	0h	ApH	119	68,10647473	40,64864159	5,617790383	5,34300254	5,811785953	0,128438563	0,296351751	0,626236972	0,089583203	125,9524855	Parasitoid	Honeydew
09/01/2018	Ap	0h	SaH	120	21,1441149	6,101025522	0,890167977	0,218467089	0	0,01295338	0,04504941	0,776069221	0,00814523	28,41177827	Parasitoid	Honeydew
